date;time;article_code;article_descr;quantity;unit_price_excl_vat;amount_excl_vat;discount_excl_vat;vat_percent;parent_article_code
09/04/2026;07:22:41;;Caffe Latte;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;M164;@Oat Milk;1;9090.91;9090.91;0;10;
09/04/2026;07:22:41;;Ice ;1;4545.45;4545.45;0;10;
09/04/2026;07:22:41;;Cappuccino;1;27272.73;20454.55;6818.18;10;
09/04/2026;07:22:41;SALES-0012;Coconut;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;;Caffeine kick smoothie;1;68181.82;68181.82;0;10;
09/04/2026;07:22:41;SALES-0012;Coconut;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;SALES-0059;Court/person 1.5 H;1;136363.64;109090.91;27272.73;10;
09/04/2026;07:22:41;SALES-0059;Court/person 1.5 H;1;136363.64;109090.91;27272.73;10;
09/04/2026;07:22:41;SALES-0059;Court/person 1.5 H;1;136363.64;136363.64;0;10;
09/04/2026;07:22:41;Racket Rental Regular;Regular Racket Rental;1;45454.55;45454.55;0;10;
09/04/2026;07:22:41;;Caffe Latte;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;;Ice ;1;4545.45;4545.45;0;10;
09/04/2026;07:22:41;;Salt & pepper Tempeh honest bowl;1;72727.27;72727.27;0;10;
09/04/2026;07:22:41;;Choco boost smoothie;0;68181.82;0;0;10;
09/04/2026;07:22:41;;Choco boost smoothie;1;68181.82;68181.82;0;10;
09/04/2026;07:22:41;;Extra oat milk;1;9090.91;9090.91;0;10;
09/04/2026;07:22:41;;Chicken & Pesto bagel;1;59090.91;44318.18;14772.73;10;
09/04/2026;07:22:41;;Tuna Poke honest bowl;1;95454.55;95454.55;0;10;
09/04/2026;07:22:41;SALES-0075;Membership;1;1090909.09;1090909.09;0;10;
09/04/2026;07:22:41;SALES-0074;Kid Membership;1;454545.45;454545.45;0;10;
09/04/2026;07:22:41;Racket Rental Regular;Regular Racket Rental;1;45454.55;45454.55;0;10;
09/04/2026;07:22:41;;Cappuccino;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;SALES-0059;Court/person 1.5 H;2;136363.64;227272.73;45454.55;10;
09/04/2026;07:22:41;SALES-0059;Court/person 1.5 H;1;136363.64;136363.64;0;10;
09/04/2026;07:22:41;SALES-0012;Coconut;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;SALES-0012;Coconut;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;SALES-0059;Court/person 1.5 H;1;136363.64;136363.64;0;10;
09/04/2026;07:22:41;;Strawberry matcha parfait;1;63636.36;63636.36;0;10;
09/04/2026;07:22:41;;Cappuccino;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;M164;@Oat Milk;1;9090.91;9090.91;0;10;
09/04/2026;07:22:41;SALES-0012;Coconut;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;SALES-0059;Court/person 1.5 H;2;136363.64;272727.27;0;10;
09/04/2026;07:22:41;SALES-0059;Court/person 1.5 H;4;136363.64;545454.55;0;10;
09/04/2026;07:22:41;SALES-0050;Premium Racket Rental;1;63636.36;63636.36;0;10;
09/04/2026;07:22:41;SALES-0012;Coconut;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;SALES-0012;Coconut;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;SALES-0002;Bintang Pilsener;1;31818.18;31818.18;0;10;
09/04/2026;07:22:41;SALES-0010;Coca-Cola;2;27272.73;54545.45;0;10;
09/04/2026;07:22:41;SALES-0010;Coca-Cola;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;SALES-0003;Bintang Radler;2;31818.18;47727.27;15909.09;10;
09/04/2026;07:22:41;SALES-0012;Coconut;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;SALES-0012;Coconut;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;;Cappuccino;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;;Chocolate brownies parfait;1;63636.36;63636.36;0;10;
09/04/2026;07:22:41;SALES-0012;Coconut;1;27272.73;27272.73;0;10;
09/04/2026;07:22:41;;Mix fruits chia pudding;1;45454.55;45454.55;0;10;
09/04/2026;07:22:41;Racket Rental Regular;Regular Racket Rental;1;45454.55;45454.55;0;10;
09/04/2026;07:22:41;;Tiramisu parfait;1;68181.82;68181.82;0;10;
